PkId,Id,Barcode,Name,QtyInPackage,BasePrice,SalePrice,ItemGroupId,ItemCategoryId,ItemCategoryName,MeasureName,ManufacturerId,ManufacturerName,ItemSubCategoryId,ItemSubCategoryName,BrandId,BrandName,Volume,Weight,ActiveStatus
2105201015369331106,805007,40352886,Желатин 56*3 уут  RUF,0.0,3700.0,3700.0,Ruf,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331107,804021,5904593000360,"Чихэр Кармель ""Landrynki"" ууттай 4төрөл 80гр /1x*30ш/",0.0,700.0,700.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331108,805003,"4002809037849, 4002809003950",Пиццаны гурил 315гр*10ш,0.0,7200.0,7200.0,Ruf,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331109,804001,"4005195772639, 4005195000091","Хар талх Герман"" нойтон 500 гр 1х*5ш",0.0,6900.0,6900.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331110,804003,"4601899001596, 4601899000094, 4601899003873",Зөгийн бал 500 гр -1/12,0.0,10000.0,10000.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331111,804004,"4601899000667, 4601899002036",Зөгийн бал 350 гр -1/8,0.0,9000.0,9000.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331112,804005,"4601899000070, 4601899003668",Зөгийн бал 250 гр -1/12,0.0,6500.0,6500.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331113,804015,8428916013600,"Оливийн жимс хар ""Acorsa"" 300 гр -1/12",0.0,4500.0,4500.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331114,804016,8428916523604,"Оливийн жимс ногоон ""Acorsa"" 300 гр  -1/12",0.0,4500.0,4500.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331115,804032,40376400,"Нимбэгний хүчил ""Sizila"" 24ш*200гр",0.0,3200.0,3200.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331116,804041,,Бяслаг Моцералла 1х*4ш*кг,0.0,20800.0,20800.0,Бяслаг,,,Клограм,,,,,,,0.0,0.0,N
2105201015369331117,807060,"43115014706, 4311501660881",Компот Ananas Scheiben 820гр 1х*12ш G&G,0.0,11800.0,11800.0,Герман Хүнс,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331118,808018,4311501748756,АЦХ Elkos Ultra Binden 16ш 1х*16,0.0,4100.0,4100.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331119,808001,4311536940729,Алчуур 3 өнгө*2ш  /1х*12ш/ G&G,0.0,4800.0,4800.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331120,808006,4311536083495,Гал тогооны цаас Power 4ш /1х*6ш/ G&G,0.0,5500.0,5500.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331121,808010,4311501660027,"Нойлын цаас Nature 8ш, /1х*7ш/ G&G",0.0,13000.0,13000.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331122,808016,4311501419014,Угаалгын нунтаг Classic /Vollwaschmittel/ 2.025кг G&G,0.0,25000.0,25000.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331123,808023,4311501616512,Хувцас зайлагч Weichspuler sensitev 50WL 1.5л /1х*6/,0.0,11200.0,11200.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331124,808014,4311536964275,Толбо арилгагч Gallseife 1х*12ш*250мл G&G,0.0,3000.0,3000.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331125,808022,4311501435472,Цэвэрлэгээний бодис Flecken Vorwaschspray 1х*10ш*1л G&G,0.0,7000.0,7000.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331126,808021,4311536965661,Хогны уут 1х*24ш*25л багтаамжтай G&G,0.0,3000.0,3000.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331127,808013,4311501748961,АЦХ Elkos Ultra Binden Normal 20ш 1х*16,0.0,5200.0,5200.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331128,808005,4311501484951,Аяга таваг угаагч машины капсул Classic 900g 1х*5ш,0.0,7500.0,7500.0,Герман ахуй,,,Ширхэг,,,,,,,0.0,0.0,Y
2105201015369331129,907203,4311501650196,Маалингийн үр 250гр /Leinsamen/,0.0,6950.0,6950.0,Бусад,,,Ширхэг,,,,,,,0.0,0.0,Y
2105241532450711081,801024,,Бяслаг гоуда 1х*4ш 48% /Ammerland/,0.0,30500.0,30500.0,Бяслаг,,,Клограм,,,,,,,0.0,0.0,Y
2105271823271071021,803005,5905477002777,Масло Polmlek extra 1х*50ш*200гр,0.0,6300.0,6300.0,Сүүн бүтээгдэхүүн,,,Ширхэг,,,,,,,0.0,0.0,Y
2106041658191351045,801012,4000504141823,Бяслаг Бри 1хайр*28*125 гр,0.0,8300.0,8300.0,Бяслаг,,,Ширхэг,,,,,,,0.0,0.0,Y
2106041659363891099,801053,4000538571023,"Бяслаг хуудсан ""Snack улаан"" emmentaler  1х*32ш*150гр",0.0,4600.0,4600.0,Бяслаг,,,Ширхэг,,,,,,,0.0,0.0,Y
2106041700278971061,801054,4000538571221,"Бяслаг хуудсан ""Snack шар"" Toast 1х*32ш*150гр",0.0,4600.0,4600.0,Бяслаг,,,Ширхэг,,,,,,,0.0,0.0,Y
2106041707116341023,803008,4003490020240,Сүүн крем Whipping cream Hochwald 1х*12ш*1000гр,0.0,25000.0,25000.0,Сүүн бүтээгдэхүүн,,,Ширхэг,,,,,,,0.0,0.0,Y
2106041709511121066,803003,4001431937367,"Сүүн крем ""Зана"" гүзээлзгэнэтэй 250 гр*12ш ",0.0,5800.0,5800.0,Сүүн бүтээгдэхүүн,,,Ширхэг,,,,,,,0.0,0.0,N
2106221336283841069,802012,4650058320054,"Түрс Икра ""Дары моря"" шилтэй хар1х*48ш*113гр",0.0,3800.0,3800.0,"Мах, махан бүтээгдэхүүн",,,Ширхэг,,,,,,,0.0,0.0,Y
2106221340519581088,802021,4650058321716,"Түрс ""Закуска азовская, черноморская"" цөцгийтэй хар,  1х*12ш*180 гр",0.0,4200.0,4200.0,"Мах, махан бүтээгдэхүүн",,,Ширхэг,,,,,,,0.0,0.0,Y
2107231106314611009,801001,,Бяслаг хуудсан ХЯМДАСРАН 1х*32ш*150гр,0.0,3000.0,3000.0,Бяслаг,,,Ширхэг,,,,,,,0.0,0.0,Y
2107261138110591055,801057,5904716011358,Бяслаг хуудсан Processed Cheese Polmlek 1х*26ш*130гр,0.0,2000.0,2000.0,Бяслаг,,,Ширхэг,,,,,,,0.0,0.0,N
2108100909138071020,1502001,,Төмс,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100910493111096,1502002,,Сонгино /ногоон/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100911168881040,1502003,,Сонгино /бөөрөнхий/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100911407681045,1502004,,Сармис,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100912014801017,1502005,,Манжин,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100912150911061,1502006,,Манжин /хүрэн/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100912315861021,1502007,,Лууван,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100912489251066,1502008,,Байцаа,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100913072331040,1502009,,Чинжүү,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100913286281018,1502010,,Огурцы /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100913449781037,1502011,,Огурцы /шилтэй/,0.0,0.0,0.0,Хүнс,,,Ширхэг,,,,,,,0.0,0.0,Y
2108100914186581078,1502012,,Брокли,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100914375351057,1502013,,Бууцай,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100914512571009,1502014,,Хулуу,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100915108471010,1502015,,Мөөг,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100915227681066,1502016,,Юуцай,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100915367391026,1502017,,Яншуй,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100915554671041,1502018,,Помидор /үрлэн/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100916375841047,1502019,,Вандуй /лааз/,0.0,0.0,0.0,Хүнс,,,Ширхэг,,,,,,,0.0,0.0,Y
2108100916597281066,1502020,,Эрдэнэшиш /лааз/,0.0,0.0,0.0,Хүнс,,,Ширхэг,,,,,,,0.0,0.0,Y
2108100918164121098,1502021,,Сода /хүнсний/,0.0,0.0,0.0,Хүнс,,,Ширхэг,,,,,,,0.0,0.0,Y
2108100918388051021,1502022,,Гурил /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100919150841034,1502023,,Гоймон /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100919357031056,1502024,,Будаа /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100920136361070,1502025,,Майонез /л/,0.0,0.0,0.0,Хүнс,,,Литр,,,,,,,0.0,0.0,Y
2108100921201491013,1502026,,Элсэн чихэр /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100922061021023,1502027,,Гоймон лапша /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100922347251047,1502028,,Будаа гурвалжин /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100922580401027,1502029,,Пүнтүүз /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100923319461002,1502030,,Гоймон шпагети /кг/,0.0,0.0,0.0,Хүнс,,,Клограм,,,,,,,0.0,0.0,Y
2108100924004271063,1502031,,Соус шпагети /шилтэй/,0.0,0.0,0.0,Хүнс,,,Ширхэг,,,,,,,0.0,0.0,Y
2108100924549581039,1502032,,Исгэгч,0.0,0.0,0.0,Хүнс,,,Ширхэг,,,,,,,0.0,0.0,Y
